104.72.221.173,220.57.219.35
16.65.26.150,133.42.154.151
80.241.37.220,93.109.90.13
35.165.212.97,105.166.11.16
122.143.149.115,246.17.13.31
20.44.170.80,144.105.12.169
122.132.114.84,184.165.60.95
102.111.151.45,120.152.236.26
53.252.70.24,171.51.24.110
101.103.12.180,224.55.178.136
1.1.1.1,2.2.2.2
191.243.17.51,232.58.200.92
4.153.93.91,184.150.49.119
90.10.233.27,157.7.196.83
47.102.46.158,217.108.234.208
112.253.211.94,189.242.254.36
98.194.100.89,101.240.162.218
20.199.238.234,78.10.40.180
55.96.155.31,128.133.71.218
55.248.240.197,58.210.82.220
159.224.19.195,215.239.251.105
48.222.97.217,205.98.79.213
85.150.101.24,187.35.27.38
76.196.39.169,107.120.236.64
223.76.197.236,234.193.52.118
59.219.135.147,86.202.239.178
61.148.239.176,189.250.189.98
77.212.217.144,111.73.5.138
53.122.65.247,212.244.62.178
123.9.32.252,151.183.193.58
71.47.217.111,198.121.198.133
86.174.84.221,223.65.237.176
104.134.197.63,235.121.158.188
9.68.48.56,111.27.107.126
101.211.133.104,135.233.105.24
52.5.73.157,217.77.69.92
157.223.239.78,225.121.59.238
23.225.250.76,54.47.127.248
64.98.237.118,212.245.213.74
4.186.244.55,59.21.125.224
35.146.2.46,101.246.242.168
169.127.27.147,224.168.199.118
39.52.20.251,148.147.128.13
43.23.168.44,249.74.217.94
9.15.191.147,63.237.102.190
35.149.125.236,202.207.251.35
57.115.167.64,63.162.141.102
89.85.168.17,156.254.60.202
136.118.77.74,151.210.142.170
8.68.154.112,185.163.185.119
30.85.227.114,100.207.63.68
50.147.251.12,251.14.162.157
96.232.190.168,102.141.114.189
22.154.2.2,138.157.55.42
92.50.254.44,195.161.248.95
144.149.172.28,166.218.41.183
159.188.67.164,201.45.182.118
73.252.37.112,154.130.167.182
178.214.93.204,199.52.238.184
151.66.49.224,173.134.229.126
69.243.146.222,158.197.222.11
108.180.201.121,169.110.210.66
32.166.216.201,82.171.91.12
15.95.5.252,240.36.242.56
80.153.52.185,215.112.225.155
168.199.72.3,185.148.232.194
217.159.189.131,243.175.225.44
22.136.15.126,203.219.226.233
96.112.94.181,145.3.118.72
63.62.57.136,172.232.216.127
97.176.161.72,184.127.11.25
92.62.12.37,188.227.29.163
157.31.8.249,218.56.164.93
99.241.187.32,220.202.10.216
123.251.157.41,232.13.86.241
12.242.20.199,35.213.247.18
159.117.124.107,190.65.104.48
3.249.94.197,42.140.234.49
73.241.141.172,185.90.242.247
7.215.168.224,46.134.215.156
155.82.63.15,182.22.177.146
124.248.132.101,208.132.110.176
36.158.87.160,233.219.162.53
134.169.38.166,215.5.191.72
75.131.4.85,174.83.79.235
19.139.67.10,23.156.81.217
37.31.222.236,200.59.16.5
165.25.167.253,214.209.239.169
202.70.181.75,204.156.143.240
89.31.163.35,197.118.231.1
98.221.112.152,241.243.65.45
91.90.211.32,202.120.253.196
202.1.98.215,221.186.167.222
2.63.245.89,81.60.95.180
144.50.107.239,175.230.79.80
66.53.120.216,143.97.15.3
9.58.149.201,202.254.214.237
129.158.89.239,218.47.236.253
185.110.79.199,192.82.252.171
29.2.165.65,221.174.237.56
